1,5   0  0
7,6   1  2
7,13   1  1
10,5   1  2
11,4   1  2
2,10   1  1
2,10   1  1
0,9   0  0
1,10   0  0
9,5   0  0
8,10   1  1
11,5   1  6
12,4   1  6
2,10   1  1
5,10   1  1
0,10   0  0
6,10   0  0
12,5   1  5
8,10   0  0
11,5   0  0
12,4   0  0
2,10   1  3
7,11   1  4
5,10   0  0
8,12   1  3
12,5   1  5
11,5   0  0
8,6   1  3
2,10   1  3
4,11   1  4
8,11   2  0
8,8   1  3
12,5   1  5
7,7   1  3
11,5   0  0
2,10   1  4
6,10   1  4
7,8   2  3
8,8   0  0
12,5   1  5
10,5   0  0
11,5   0  0
2,10   0  0
4,11   1  4
8,9   2  0
7,7   0  0
12,5   1  5
12,4   0  0
11,5   0  0
2,10   0  0
5,10   1  4
6,10   2  6
8,5   0  0
12,5   1  5
12,4   0  0
11,5   0  0
2,10   0  0
8,9   0  0
1,10   2  5
10,5   0  0
12,5   1  5
12,4   0  0
11,5   0  0
2,10   0  0
7,7   0  0
3,10   2  5
10,5   0  0
12,5   1  5
12,4   0  0
11,5   0  0
2,10   0  0
9,5   0  0
4,10   2  7
10,5   0  0
12,5   1  5
12,4   0  0
11,5   0  0
2,10   0  0
13,5   1  0
5,10   2  7
10,5   0  0
12,5   0  0
12,4   0  0
11,5   0  0
2,10   0  0
13,5   1  2
6,10   2  7
14,6   1  0
12,5   0  0
11,5   0  0
2,10   0  0
13,5   1  5
6,11   2  7
14,6   1  5
12,5   0  0
11,5   0  0
2,10   0  0
13,5   1  5
7,11   2  7
14,6   1  0
15,5   1  5
14,5   1  6
2,10   0  0
8,11   2  7
15,3   1  0
15,4   1  6
14,5   1  6
2,10   0  0
9,11   2  7
15,3   1  0
15,4   1  6
14,5   1  6
2,10   0  0
10,11   2  7
15,3   1  0
15,3   1  0
15,4   0  0
2,10   0  0
11,11   2  7
15,4   0  0
2,10   0  0
11,12   2  7
15,4   1  5
2,10   0  0
12,12   2  7
2,10   0  0
12,13   2  7
2,10   0  0
12,14   2  7
2,10   0  0
12,15   2  7
2,10   0  0
2,10   0  0
2,10   0  0
2,10   0  0
2,10   0  0
2,10   0  0
2,10   0  0
